,us,ca,jp,gb,fr,pl,au,date
82,875730,140236,29269,275524,90420,64696,194433,2021-03-24
83,874549,139052,29239,274668,86583,62185,194557,2021-03-25
84,891911,139108,28617,282882,89392,64467,191159,2021-03-26
85,853965,137233,28893,292994,98524,65088,185541,2021-03-27
86,762637,126000,26352,252833,87869,52578,185292,2021-03-28
87,809825,129698,27454,268073,81781,59344,179141,2021-03-29
88,811242,130766,29141,268494,82656,58991,180240,2021-03-30
89,810481,129672,29080,259801,80371,57565,182579,2021-03-31
90,860663,134255,28532,274844,70433,59322,191058,2021-04-01
91,900566,138405,28461,287939,65854,58626,183322,2021-04-02
92,835925,130205,30093,270618,69212,53729,161396,2021-04-03
93,738486,122410,27990,246586,64828,40730,157470,2021-04-04
94,799597,127011,27501,239543,64957,45718,173414,2021-04-05
95,805306,126039,27653,252800,68130,55188,177453,2021-04-06
96,808430,125750,27465,253340,66677,55066,176662,2021-04-07
97,794048,125687,27138,252722,65051,53796,174768,2021-04-08
98,785633,124287,25712,262398,64652,54577,169335,2021-04-09
99,752221,123971,27175,245313,61633,52863,156108,2021-04-10
100,698411,112506,26669,225253,57804,45786,150378,2021-04-11
101,729394,113802,24676,238829,59210,50294,161140,2021-04-12
102,741236,117570,26786,236822,57747,50397,162220,2021-04-13
103,755659,118571,26079,237913,57271,50382,164059,2021-04-14
104,756264,118180,26113,240402,57748,51104,164773,2021-04-15
105,774810,115694,24689,244826,56175,52067,160043,2021-04-16
